City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bluff,100,NZ,1627619807,78,-46.6,168.3333,52.81,2.89
Tacuarembó,0,UY,1627620158,78,-31.7333,-55.9833,36.7,3.49
Vasyurinskaya,0,RU,1627620160,47,45.1181,39.424,74.88,3.91
Spring Hill,1,US,1627620161,93,28.4769,-82.5255,78.94,3.44
Bethel,72,US,1627619761,93,41.3712,-73.414,71.1,7.18
Thompson,75,CA,1627619764,72,55.7435,-97.8558,64.56,3.44
Atbasar,8,KZ,1627620163,35,51.8,68.3333,68.2,1.79
Sistranda,100,NO,1627620163,77,63.7256,8.834,53.91,11.12
Kapaa,75,US,1627619719,72,22.0752,-159.319,84.18,1.01
Punta Arenas,75,CL,1627619678,93,-53.15,-70.9167,35.71,14.97
Wagar,96,SD,1627620165,72,16.1525,36.2032,81.43,22.19
Cidreira,8,BR,1627619787,79,-30.1811,-50.2056,42.57,9.01
Soyo,30,AO,1627619949,84,-6.1349,12.3689,71.94,8.21
Santa Elena,100,EC,1627620167,85,-2.2333,-80.85,69.46,7.78
Skellefteå,90,SE,1627620169,94,64.7507,20.9528,62.96,9.22
Upernavik,98,GL,1627619931,90,72.7868,-56.1549,43.48,5.77
Bambous Virieux,75,MU,1627620170,68,-20.3428,57.7575,73.22,17.27
Tasiilaq,27,GL,1627619744,76,65.6145,-37.6368,46.56,5.26
Banjar,38,ID,1627620172,60,-8.19,114.9675,84.06,1.12
Bredasdorp,30,ZA,1627619400,87,-34.5322,20.0403,47.52,5.75
Rikitea,1,PF,1627619659,75,-23.1203,-134.9692,71.51,6.4
Albany,89,US,1627619722,95,42.6001,-73.9662,67.53,6.24
Teya,55,RU,1627619767,46,60.3778,92.6267,71.89,3.6
Chui,6,UY,1627619701,87,-33.6971,-53.4616,39.56,5.48
Omboué,20,GA,1627620173,84,-1.5746,9.2618,73.18,5.44
Todos Santos,13,MX,1627620175,88,23.45,-110.2167,85.1,4.76
North Augusta,1,US,1627620176,86,33.5018,-81.9651,84.51,4.61
Ushuaia,20,AR,1627619450,49,-54.8,-68.3,42.46,6.91
Pauini,31,BR,1627620177,52,-7.7136,-66.9764,63.91,3.24
Chokurdakh,88,RU,1627619692,37,70.6333,147.9167,55.49,3.44
Betioky,3,MG,1627620179,64,-23.7167,44.3833,66.76,3.74
Dali,100,CN,1627620180,79,25.7,100.1833,71.6,4.03
Alta Floresta,0,BR,1627620181,72,-9.8756,-56.0861,62.42,1.14
Faanui,57,PF,1627619768,76,-16.4833,-151.75,78.21,13.49
Provideniya,75,RU,1627619818,76,64.3833,-173.3,51.91,11.18
Qaanaaq,64,GL,1627619973,87,77.484,-69.3632,39.69,7.45
Vaini,75,TO,1627619709,88,-21.2,-175.2,75.36,5.75
Nanortalik,100,GL,1627619750,77,60.1432,-45.2371,46.63,19.24
East London,0,ZA,1627619789,71,-33.0153,27.9116,54.54,9.22
Kaitangata,95,NZ,1627619807,88,-46.2817,169.8464,49.24,8.21
Mataura,100,NZ,1627619765,87,-46.1927,168.8643,52.48,3.49
City of San Pedro,75,PH,1627619396,68,14.35,121.0167,89.1,16.11
Grand-Santi,100,GF,1627620184,100,4.25,-54.3833,72.0,1.74
Sipe Sipe,26,BO,1627620186,75,-17.45,-66.3833,53.76,3.67
Agirish,64,RU,1627620187,47,61.9247,63.0231,59.11,4.52
San Mateo del Mar,100,MX,1627620189,86,16.2,-95.0,76.59,7.78
Suicheng,2,CN,1627620190,71,33.8963,117.9331,84.6,11.03
Pevek,100,RU,1627619896,98,69.7008,170.3133,32.05,24.94
Atuona,99,PF,1627619711,78,-9.8,-139.0333,77.61,13.94
New Norfolk,97,AU,1627619510,53,-42.7826,147.0587,59.92,3.0
Esperance,98,AU,1627619963,66,-33.8667,121.9,57.04,24.9
Clyde River,40,CA,1627619934,100,70.4692,-68.5914,35.83,12.66
Lagoa,0,PT,1627619784,90,39.05,-27.9833,69.44,6.98
Pindi Gheb,75,PK,1627620192,56,33.2402,72.2661,90.77,12.3
Port Alfred,14,ZA,1627619729,78,-33.5906,26.891,54.99,6.08
Bogovarovo,76,RU,1627620193,80,58.9785,47.0246,67.1,9.46
Camacupa,3,AO,1627620194,42,-12.0167,17.4833,48.2,5.21
Lebu,2,CL,1627619665,85,-37.6167,-73.65,48.13,7.11
Gribanovskiy,81,RU,1627620197,66,51.4579,41.9764,74.64,8.7
San Jose,20,US,1627620198,63,37.3394,-121.895,77.72,6.91
Portland,40,US,1627620199,41,45.5234,-122.6762,89.58,12.66
Port Lincoln,2,AU,1627620200,57,-34.7333,135.8667,65.23,19.6
Yerofey Pavlovich,1,RU,1627620201,35,53.9667,121.9667,73.71,9.64
Urucará,51,BR,1627620202,91,-2.5364,-57.76,72.91,2.53
Puerto del Rosario,15,ES,1627620204,78,28.5004,-13.8627,69.55,10.36
Barrow,90,US,1627619671,87,71.2906,-156.7887,50.02,8.05
Biltine,52,TD,1627620206,82,14.5333,20.9167,76.82,9.35
Cape Town,0,ZA,1627619526,94,-33.9258,18.4232,52.12,1.01
Nuuk,37,GL,1627620208,81,64.1835,-51.7216,48.81,13.8
Los Llanos de Aridane,90,ES,1627619859,88,28.6585,-17.9182,67.75,11.5
Bilibino,63,RU,1627620210,50,68.0546,166.4372,42.82,11.14
Henties Bay,0,NA,1627620212,36,-22.116,14.2845,65.32,9.26
Castro,2,BR,1627619683,69,-24.7911,-50.0119,31.59,3.13
Butaritari,10,KI,1627619885,72,3.0707,172.7902,83.55,10.18
Yellowknife,75,CA,1627619753,59,62.456,-114.3525,65.28,5.75
Havre-St-Pierre,90,CA,1627620214,88,50.2334,-63.5986,57.56,2.3
Ribeira Grande,10,PT,1627619677,87,38.5167,-28.7,70.14,6.76
George Town,20,MY,1627619524,72,5.4112,100.3354,85.95,4.0
Lata,62,PT,1627619968,95,40.1629,-8.3327,63.01,2.46
Pangody,12,RU,1627620217,47,65.85,74.4859,58.06,19.8
Cherskiy,99,RU,1627619825,63,68.75,161.3,38.57,19.91
Tautira,37,PF,1627620219,77,-17.7333,-149.15,78.01,6.04
Birao,100,CF,1627620220,94,10.2849,22.7882,71.2,4.43
Busselton,97,AU,1627619424,68,-33.65,115.3333,53.04,22.91
Key West,1,US,1627620222,70,24.5557,-81.7826,86.0,9.22
Kodinsk,93,RU,1627620223,55,58.6881,99.1844,74.05,5.44
Hithadhoo,63,MV,1627619749,69,-0.6,73.0833,82.56,3.02
Khūtār,100,IN,1627620224,89,28.2,80.2833,79.61,11.92
Khatanga,4,RU,1627619922,30,71.9667,102.5,89.92,16.13
Hobart,75,AU,1627619701,48,-42.8794,147.3294,60.26,4.0
Port Elizabeth,0,ZA,1627619765,93,-33.918,25.5701,46.69,3.44
La Bañeza,0,ES,1627620225,82,42.3003,-5.8977,55.08,5.28
Puerto Ayora,16,EC,1627619762,91,-0.7393,-90.3518,70.43,5.79
Saint Paul Harbor,90,US,1627619735,62,57.79,-152.4072,56.71,0.0
Hobyo,99,SO,1627620227,74,5.3505,48.5268,77.81,25.01
Reconquista,0,AR,1627620230,58,-29.15,-59.65,39.4,6.38
Wanning,97,CN,1627619716,63,18.8003,110.3967,91.62,14.05
Leningradskiy,100,RU,1627620232,98,69.3833,178.4167,32.63,19.91
Sakaiminato,40,JP,1627620234,66,35.55,133.2333,87.78,8.05
Longyearbyen,75,SJ,1627619755,87,78.2186,15.6401,42.64,2.3
Goundam,51,ML,1627620235,53,16.4145,-3.6708,87.22,7.78
Fairbanks,90,US,1627620236,67,64.8378,-147.7164,69.76,4.61
Port Blair,72,IN,1627620238,76,11.6667,92.75,85.42,17.67
Tura,100,IN,1627619914,89,25.5198,90.2201,77.07,7.56
Gijang,98,KR,1627620014,59,35.2442,129.2139,92.93,16.04
Hermanus,64,ZA,1627619675,79,-34.4187,19.2345,51.91,4.61
Avarua,33,CK,1627620240,73,-21.2078,-159.775,73.45,3.44
Olafsvik,99,IS,1627619958,87,64.8945,-23.7142,52.68,4.12
Port Augusta,66,AU,1627620242,33,-32.5,137.7667,73.54,22.55
Beloha,3,MG,1627620242,69,-25.1667,45.05,67.5,4.7
Bandarbeyla,100,SO,1627619848,59,9.4942,50.8122,80.87,31.0
Russell,1,US,1627620245,93,32.3502,-85.1999,81.63,0.0
Sitka,20,US,1627619890,52,57.0531,-135.33,69.69,6.91
